管道复测,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
声道面,A,,,,,,,,,,,,,
,,,,,,,,,,,,,,
声道分布,8,,,,,,,,,,,,,
,,,,,,,,,,,,,,
管道半径,0.873662085,,,,,,,,,,,,,
,,,,,,,,,,,,,,
复测结果,,,,,,,,,,,,,,
声道面,声道,下游换能器x,下游换能器y,下游换能器z,上游换能器x,上游换能器y,上游换能器z,声道长,声道角,LT偏移,声道相对高度,高斯-雅克比,圆形优化法,
A,第1声道,,,,,,,,,,NaN,,,
A,第2声道,,,,,,,,,,NaN,,,
A,第3声道,,,,,,,,,,NaN,,,
A,第4声道,,,,,,,,,,NaN,,,
A,第5声道,,,,,,,,,,NaN,,,
A,第6声道,,,,,,,,,,NaN,,,
A,第7声道,,,,,,,,,,NaN,,,
A,第8声道,,,,,,,,,,NaN,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
详情数据,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
中心点,AB1,,,,,,,,,,,,,
x,1.069907312,,,,,,,,,,,,,
y,-0.874283126,,,,,,,,,,,,,
z,-1.136289396,,,,,,,,,,,,,
,,,,,,,,,,,,,,
轴线方向,,,,,,,,,,,,,,
5.942517,1.647449307,,,,,,,,,,,,,
,,,,,,,,,,,,,,
拟合采集点,P14,P13,P12,P11,P10,P9,P8,P7,P1,P2,P3,P4,P5,P6
x,0.514632211,0.247505526,0.509938035,-0.470960409,-0.151472659,-0.213623946,-0.302235941,1.135303527,-0.199831388,1.385013919,-0.289442185,1.303287683,-0.377755642,-0.464617507
y,0.545562085,0.543315018,0.545859376,-0.486451041,-1.113732748,-0.982926218,-0.568445396,-0.421463143,-0.361010693,-0.369438547,-0.379176347,-0.387278484,-0.396551822,-0.413293212
z,-1.717181016,-0.825791094,-1.701244279,-1.380180939,-0.910208885,-1.284040672,-1.817249237,-0.758075537,-2.21623713,-1.453354448,-1.953624573,-1.222675153,-1.690409114,-1.428323429
,,,,,,,,,,,,,,
mTaon,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,
y,,,,,,,,,,,,,,
z,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
center,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,
y,,,,,,,,,,,,,,
z,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,声道角,65,,,,,,,,,,,,
,,,,,,,,,,,,,,
声道采集点,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,
y,,,,,,,,,,,,,,
z,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
边界点,上游点1,下游点2,,,,,,,,,,,,
x,1.324555857,0.638174736,,,,,,,,,,,,
y,-0.727397869,-1.08895715,,,,,,,,,,,,
z,-1.572533811,-0.651304138,,,,,,,,,,,,
